* min_df= 1 , max_df= 0.30000000000000004, alpha= 0.08, accuracy_train=0.9425827198104426, accuracy_val=0.8926532165968786 
* min_df= 1 , max_df= 0.30000000000000004, alpha= 0.09, accuracy_train=0.9406363713294407, accuracy_val=0.8918918918918919 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.01, accuracy_train=0.9617500211559618, accuracy_val=0.9002664636467453 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.02, accuracy_train=0.956926461876957, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.03, accuracy_train=0.9534568841499534, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.04, accuracy_train=0.9500719302699501, accuracy_val=0.8983631518842786 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.05, accuracy_train=0.9481255817889481, accuracy_val=0.8972211648267986 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.06, accuracy_train=0.9457561140729458, accuracy_val=0.8949371907118386 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.07, accuracy_train=0.9438097655919439, accuracy_val=0.8934145413018653 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.08, accuracy_train=0.941990352881442, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.09, accuracy_train=0.9406363713294407, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.4, alpha= 0.01, accuracy_train=0.9618346450029618, accuracy_val=0.9006471259992387 
* min_df= 1 , max_df= 0.4, alpha= 0.02, accuracy_train=0.9564610307184565, accuracy_val=0.899885801294252 
* min_df= 1 , max_df= 0.4, alpha= 0.03, accuracy_train=0.9534145722264534, accuracy_val=0.899885801294252 
* min_df= 1 , max_df= 0.4, alpha= 0.04, accuracy_train=0.95002961834645, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.4, alpha= 0.05, accuracy_train=0.9482102056359482, accuracy_val=0.8979824895317853 
* min_df= 1 , max_df= 0.4, alpha= 0.06, accuracy_train=0.9456291783024456, accuracy_val=0.8968405024743052 
* min_df= 1 , max_df= 0.4, alpha= 0.07, accuracy_train=0.9435135821274435, accuracy_val=0.894175866006852 
* min_df= 1 , max_df= 0.4, alpha= 0.08, accuracy_train=0.9421172886519421, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.4, alpha= 0.09, accuracy_train=0.9402132520944402, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.45, alpha= 0.01, accuracy_train=0.9618769569264619, accuracy_val=0.9006471259992387 
* min_df= 1 , max_df= 0.45, alpha= 0.02, accuracy_train=0.9565033426419565, accuracy_val=0.9002664636467453 
* min_df= 1 , max_df= 0.45, alpha= 0.03, accuracy_train=0.9532876364559533, accuracy_val=0.899885801294252 
* min_df= 1 , max_df= 0.45, alpha= 0.04, accuracy_train=0.9501988660404502, accuracy_val=0.899885801294252 
* min_df= 1 , max_df= 0.45, alpha= 0.05, accuracy_train=0.9482525175594483, accuracy_val=0.898743814236772 
* min_df= 1 , max_df= 0.45, alpha= 0.06, accuracy_train=0.9455445544554455, accuracy_val=0.8956985154168253 
* min_df= 1 , max_df= 0.45, alpha= 0.07, accuracy_train=0.9436405178979437, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.45, alpha= 0.08, accuracy_train=0.9421596005754421, accuracy_val=0.8945565283593453 
* min_df= 1 , max_df= 0.45, alpha= 0.09, accuracy_train=0.9403824997884404, accuracy_val=0.8937952036543586 
* min_df= 2 , max_df= 0.05, alpha= 0.01, accuracy_train=0.9583650672759584, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.05, alpha= 0.02, accuracy_train=0.9542184987729542, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.05, alpha= 0.03, accuracy_train=0.9515951595159516, accuracy_val=0.9021697754092121 
* min_df= 2 , max_df= 0.05, alpha= 0.04, accuracy_train=0.9493526275704494, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.05, alpha= 0.05, accuracy_train=0.9477024625539477, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.05, alpha= 0.06, accuracy_train=0.9457984259964458, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.05, alpha= 0.07, accuracy_train=0.9446983159854447, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.05, alpha= 0.08, accuracy_train=0.9436828298214437, accuracy_val=0.8991244765892653 
