* min_df= 1 , max_df= 0.2, alpha= 0.12, accuracy_train=0.9379284082254379, accuracy_val=0.8915112295393985 
* min_df= 1 , max_df= 0.2, alpha= 0.13, accuracy_train=0.9366590505204366, accuracy_val=0.8915112295393985 
* min_df= 1 , max_df= 0.2, alpha= 0.14, accuracy_train=0.9351358212744352, accuracy_val=0.8907499048344119 
* min_df= 1 , max_df= 0.2, alpha= 0.15, accuracy_train=0.9335702801049336, accuracy_val=0.8903692424819185 
* min_df= 1 , max_df= 0.2, alpha= 0.16, accuracy_train=0.9322162985529322, accuracy_val=0.8907499048344119 
* min_df= 1 , max_df= 0.2, alpha= 0.17, accuracy_train=0.9310738766184311, accuracy_val=0.8907499048344119 
* min_df= 1 , max_df= 0.2, alpha= 0.18, accuracy_train=0.9299314546839299, accuracy_val=0.8903692424819185 
* min_df= 1 , max_df= 0.2, alpha= 0.19, accuracy_train=0.9291275281374292, accuracy_val=0.8899885801294252 
* min_df= 1 , max_df= 0.2, alpha= 0.2, accuracy_train=0.9281543538969281, accuracy_val=0.8903692424819185 
* min_df= 1 , max_df= 0.25, alpha= 0.01, accuracy_train=0.962003892696962, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.25, alpha= 0.02, accuracy_train=0.9573495811119573, accuracy_val=0.898743814236772 
* min_df= 1 , max_df= 0.25, alpha= 0.03, accuracy_train=0.9534991960734535, accuracy_val=0.8983631518842786 
* min_df= 1 , max_df= 0.25, alpha= 0.04, accuracy_train=0.9508335448929508, accuracy_val=0.8979824895317853 
* min_df= 1 , max_df= 0.25, alpha= 0.05, accuracy_train=0.9485910129474486, accuracy_val=0.8976018271792919 
* min_df= 1 , max_df= 0.25, alpha= 0.06, accuracy_train=0.9465177286959465, accuracy_val=0.895317853064332 
* min_df= 1 , max_df= 0.25, alpha= 0.07, accuracy_train=0.9443175086739444, accuracy_val=0.8926532165968786 
* min_df= 1 , max_df= 0.25, alpha= 0.08, accuracy_train=0.9426673436574426, accuracy_val=0.8918918918918919 
* min_df= 1 , max_df= 0.25, alpha= 0.09, accuracy_train=0.9409325547939409, accuracy_val=0.8926532165968786 
* min_df= 1 , max_df= 0.25, alpha= 0.1, accuracy_train=0.9395785732419396, accuracy_val=0.8922725542443852 
* min_df= 1 , max_df= 0.25, alpha= 0.11, accuracy_train=0.9382669036134382, accuracy_val=0.8911305671869052 
* min_df= 1 , max_df= 0.25, alpha= 0.12, accuracy_train=0.9375052889904375, accuracy_val=0.8911305671869052 
* min_df= 1 , max_df= 0.25, alpha= 0.13, accuracy_train=0.9355166285859355, accuracy_val=0.8911305671869052 
* min_df= 1 , max_df= 0.25, alpha= 0.14, accuracy_train=0.9340780231869341, accuracy_val=0.8903692424819185 
* min_df= 1 , max_df= 0.25, alpha= 0.15, accuracy_train=0.9328509774054329, accuracy_val=0.8899885801294252 
* min_df= 1 , max_df= 0.25, alpha= 0.16, accuracy_train=0.9316239316239316, accuracy_val=0.8888465930719451 
* min_df= 1 , max_df= 0.25, alpha= 0.17, accuracy_train=0.9303122619954303, accuracy_val=0.8888465930719451 
* min_df= 1 , max_df= 0.25, alpha= 0.18, accuracy_train=0.9291275281374292, accuracy_val=0.8892272554244385 
* min_df= 1 , max_df= 0.25, alpha= 0.19, accuracy_train=0.928027418126428, accuracy_val=0.8896079177769318 
* min_df= 1 , max_df= 0.25, alpha= 0.2, accuracy_train=0.9272234915799272, accuracy_val=0.8896079177769318 
* min_df= 2 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9541761868494542, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9504950495049505, accuracy_val=0.9002664636467453 
* min_df= 2 , max_df= 0.1, alpha= 0.03, accuracy_train=0.947998646018448, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.1, alpha= 0.04, accuracy_train=0.9460946094609461, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9446560040619446, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9427096555809427, accuracy_val=0.9029311001141987 
* min_df= 2 , max_df= 0.1, alpha= 0.07, accuracy_train=0.9413556740289414, accuracy_val=0.9021697754092121 
* min_df= 2 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9400863163239401, accuracy_val=0.901027788351732 
* min_df= 2 , max_df= 0.1, alpha= 0.09, accuracy_train=0.9389015824659389, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.1, alpha= 0.1, accuracy_train=0.9382669036134382, accuracy_val=0.899885801294252 
* min_df= 2 , max_df= 0.1, alpha= 0.11, accuracy_train=0.9373360412964373, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.1, alpha= 0.12, accuracy_train=0.9366590505204366, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.1, alpha= 0.13, accuracy_train=0.9357281882034357, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.1, alpha= 0.14, accuracy_train=0.935008885503935, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.1, alpha= 0.15, accuracy_train=0.933993399339934, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.1, alpha= 0.16, accuracy_train=0.9331471608699331, accuracy_val=0.8968405024743052 
* min_df= 2 , max_df= 0.1, alpha= 0.17, accuracy_train=0.9324278581704324, accuracy_val=0.8968405024743052 
* min_df= 2 , max_df= 0.1, alpha= 0.18, accuracy_train=0.9317931793179318, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.1, alpha= 0.19, accuracy_train=0.9312854362359313, accuracy_val=0.8964598401218119 
* min_df= 2 , max_df= 0.1, alpha= 0.2, accuracy_train=0.9307353812304308, accuracy_val=0.8956985154168253 
