* min_df= 1 , max_df= 0.30000000000000004, alpha= 0.08, accuracy_train=0.9423711601929424, accuracy_val=0.8972211648267986 
* min_df= 1 , max_df= 0.30000000000000004, alpha= 0.09, accuracy_train=0.9408056190234408, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.01, accuracy_train=0.9646695438774646, accuracy_val=0.9017891130567187 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.02, accuracy_train=0.9595498011339596, accuracy_val=0.9014084507042254 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.03, accuracy_train=0.9556571041719557, accuracy_val=0.9048344118766654 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.04, accuracy_train=0.9529914529914529, accuracy_val=0.904453749524172 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.05, accuracy_train=0.9497757468054497, accuracy_val=0.9021697754092121 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.06, accuracy_train=0.9468985360074469, accuracy_val=0.8995051389417587 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.07, accuracy_train=0.9444444444444444, accuracy_val=0.8983631518842786 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.08, accuracy_train=0.9418211051874418, accuracy_val=0.8968405024743052 
* min_df= 1 , max_df= 0.35000000000000003, alpha= 0.09, accuracy_train=0.9405094355589405, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.4, alpha= 0.01, accuracy_train=0.9645426081069646, accuracy_val=0.9017891130567187 
* min_df= 1 , max_df= 0.4, alpha= 0.02, accuracy_train=0.9593805534399594, accuracy_val=0.9017891130567187 
* min_df= 1 , max_df= 0.4, alpha= 0.03, accuracy_train=0.9554878564779555, accuracy_val=0.9048344118766654 
* min_df= 1 , max_df= 0.4, alpha= 0.04, accuracy_train=0.9529068291444529, accuracy_val=0.9036924248191854 
* min_df= 1 , max_df= 0.4, alpha= 0.05, accuracy_train=0.9495641871879495, accuracy_val=0.9021697754092121 
* min_df= 1 , max_df= 0.4, alpha= 0.06, accuracy_train=0.9465600406194465, accuracy_val=0.8983631518842786 
* min_df= 1 , max_df= 0.4, alpha= 0.07, accuracy_train=0.9441059490564441, accuracy_val=0.8979824895317853 
* min_df= 1 , max_df= 0.4, alpha= 0.08, accuracy_train=0.9418634171109419, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.4, alpha= 0.09, accuracy_train=0.9405094355589405, accuracy_val=0.8960791777693187 
* min_df= 1 , max_df= 0.45, alpha= 0.01, accuracy_train=0.9646695438774646, accuracy_val=0.901027788351732 
* min_df= 1 , max_df= 0.45, alpha= 0.02, accuracy_train=0.9592959295929593, accuracy_val=0.9021697754092121 
* min_df= 1 , max_df= 0.45, alpha= 0.03, accuracy_train=0.9554032326309554, accuracy_val=0.9036924248191854 
* min_df= 1 , max_df= 0.45, alpha= 0.04, accuracy_train=0.9528645172209529, accuracy_val=0.904453749524172 
* min_df= 1 , max_df= 0.45, alpha= 0.05, accuracy_train=0.9496064991114496, accuracy_val=0.9014084507042254 
* min_df= 1 , max_df= 0.45, alpha= 0.06, accuracy_train=0.9465177286959465, accuracy_val=0.8991244765892653 
* min_df= 1 , max_df= 0.45, alpha= 0.07, accuracy_train=0.9444021325209444, accuracy_val=0.8979824895317853 
* min_df= 1 , max_df= 0.45, alpha= 0.08, accuracy_train=0.9417364813404417, accuracy_val=0.8968405024743052 
* min_df= 1 , max_df= 0.45, alpha= 0.09, accuracy_train=0.9405094355589405, accuracy_val=0.8956985154168253 
* min_df= 2 , max_df= 0.05, alpha= 0.01, accuracy_train=0.9598459845984598, accuracy_val=0.8979824895317853 
* min_df= 2 , max_df= 0.05, alpha= 0.02, accuracy_train=0.9552339849369552, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.05, alpha= 0.03, accuracy_train=0.9522721502919522, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.05, alpha= 0.04, accuracy_train=0.9497757468054497, accuracy_val=0.8983631518842786 
* min_df= 2 , max_df= 0.05, alpha= 0.05, accuracy_train=0.947998646018448, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.05, alpha= 0.06, accuracy_train=0.9461792333079462, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.05, alpha= 0.07, accuracy_train=0.9444444444444444, accuracy_val=0.8991244765892653 
* min_df= 2 , max_df= 0.05, alpha= 0.08, accuracy_train=0.943048150968943, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.05, alpha= 0.09, accuracy_train=0.9413556740289414, accuracy_val=0.898743814236772 
* min_df= 2 , max_df= 0.1, alpha= 0.01, accuracy_train=0.9562494711009563, accuracy_val=0.8995051389417587 
* min_df= 2 , max_df= 0.1, alpha= 0.02, accuracy_train=0.9513835998984513, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.1, alpha= 0.03, accuracy_train=0.947998646018448, accuracy_val=0.9025504377617054 
* min_df= 2 , max_df= 0.1, alpha= 0.04, accuracy_train=0.9453329948379453, accuracy_val=0.9029311001141987 
* min_df= 2 , max_df= 0.1, alpha= 0.05, accuracy_train=0.9432597105864433, accuracy_val=0.9014084507042254 
* min_df= 2 , max_df= 0.1, alpha= 0.06, accuracy_train=0.9413133621054414, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.1, alpha= 0.07, accuracy_train=0.94000169247694, accuracy_val=0.9006471259992387 
* min_df= 2 , max_df= 0.1, alpha= 0.08, accuracy_train=0.9386477109249386, accuracy_val=0.9017891130567187 
* min_df= 2 , max_df= 0.1, alpha= 0.09, accuracy_train=0.937039857831937, accuracy_val=0.9017891130567187 
